Date,NCC,StrokePrim,StrokeCon,GenNeuro,Epilepsy,
2022-07-11 02:30,7,11,11,23,1,
2022-07-11 07:20,7,11,11,24,1,
2022-07-11 14:30,8,11,12,25,2,
2022-07-11 19:20,8,12,12,25,2,
2022-07-12 02:30,10,12,14,21,2,
2022-07-12 07:20,11,12,14,23,2,
2022-07-12 14:30,11,11,13,23,2,
2022-07-12 19:20,10,12,12,21,2,
2022-07-13 02:30,9,13,12,22,2,
2022-07-13 07:20,9,13,12,21,2,
2022-07-13 14:30,9,12,12,22,2,
2022-07-13 19:20,9,11,8,25,2,
2022-07-14 02:30,9,10,8,24,2,
2022-07-14 07:20,11,10,8,24,2,
2022-07-14 14:30,11,9,7,22,2,
2022-07-14 19:20,12,9,7,21,2,
2022-07-15 02:30,9,10,7,23,2,
2022-07-15 07:20,9,10,7,23,2,
2022-07-15 14:30,10,11,6,14,2,
2022-07-15 19:20,9,11,2,13,2,
2022-07-16 02:30,8,9,2,15,2,
2022-07-16 07:20,7,9,2,16,2,
2022-07-16 14:30,7,9,5,18,2,
2022-07-16 19:20,6,9,5,17,2,
2022-07-17 02:30,6,9,7,17,2,
2022-07-17 07:20,7,9,7,18,2,
2022-07-17 14:30,7,8,3,12,1,
2022-07-17 19:20,7,6,2,13,1,
2022-07-18 02:30,7,6,2,14,1,
2022-07-18 07:20,7,6,3,13,1,
2022-07-18 14:30,7,6,3,15,2,
2022-07-18 19:20,7,6,4,18,2,
2022-07-19 02:30,8,7,4,19,2,
2022-07-19 07:20,8,7,5,19,2,
2022-07-19 14:30,8,7,3,18,2,
2022-07-19 19:20,7,6,4,18,2,
2022-07-20 02:30,8,7,4,20,2,
2022-07-20 07:20,8,7,3,21,2,
2022-07-20 14:30,7,7,3,22,2,
2022-07-20 19:20,8,6,5,22,2,
